OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
37;"Tram";"2 | 12 | 13 | 17";"02|12|13|17";"LINESTRING(4.896938 52.378009,4.897081 52.378081,4.897218 52.378192,4.897928 52.378811,4.897998 52.378851,4.898112 52.378881,4.898241 52.378881,4.8984 52.378835,4.898558 52.378764,4.898826 52.378601,4.89902 52.378456,4.899141 52.37834,4.899254 52.378197,4.899295 52.378112,4.899292 52.378027,4.899209 52.377915,4.898857 52.377666,4.898784 52.377626,4.898716 52.377602,4.898634 52.377587,4.89856 52.377584,4.898484 52.37759,4.898416 52.377605,4.898322 52.377642,4.8981 52.37776,4.8979 52.377897,4.897728 52.377984,4.897583 52.378021,4.897436 52.378034,4.89726 52.378038,4.89711 52.378035,4.896941 52.378009)";"LINESTRING(52.378009 4.896938,52.378081 4.897081,52.378192 4.897218,52.378811 4.897928,52.378851 4.897998,52.378881 4.898112,52.378881 4.898241,52.378835 4.8984,52.378764 4.898558,52.378601 4.898826,52.378456 4.89902,52.37834 4.899141,52.378197 4.899254,52.378112 4.899295,52.378027 4.899292,52.377915 4.899209,52.377666 4.898857,52.377626 4.898784,52.377602 4.898716,52.377587 4.898634,52.377584 4.89856,52.37759 4.898484,52.377605 4.898416,52.377642 4.898322,52.37776 4.8981,52.377897 4.8979,52.377984 4.897728,52.378021 4.897583,52.378034 4.897436,52.378038 4.89726,52.378035 4.89711,52.378009 4.896941)";4.8981165;52.3782325
38;"Tram";"24";"24";"LINESTRING(4.89089 52.358711,4.890871 52.358756,4.890859 52.358814,4.890819 52.358881,4.890762 52.358935,4.890586 52.359053,4.890549 52.359078,4.890465 52.359139,4.89042 52.359193,4.890397 52.359258,4.8904 52.359325,4.890418 52.359381,4.890459 52.359432,4.890496 52.359462,4.890587 52.359513,4.8906436 52.3595393,4.890701 52.3595578,4.890787 52.359574)";"LINESTRING(52.358711 4.89089,52.358756 4.890871,52.358814 4.890859,52.358881 4.890819,52.358935 4.890762,52.359053 4.890586,52.359078 4.890549,52.359139 4.890465,52.359193 4.89042,52.359258 4.890397,52.359325 4.8904,52.359381 4.890418,52.359432 4.890459,52.359462 4.890496,52.359513 4.890587,52.3595393 4.8906436,52.3595578 4.890701,52.359574 4.890787)";4.8906435;52.3591425
40;"Tram";"5";"05";"LINESTRING(4.875852 52.372026,4.875851 52.372202,4.875865 52.37256,4.876312 52.374075,4.876388 52.374247,4.876557 52.37451,4.876729 52.37473,4.877751 52.376351,4.878548 52.377614,4.878858 52.37809)";"LINESTRING(52.372026 4.875852,52.372202 4.875851,52.37256 4.875865,52.374075 4.876312,52.374247 4.876388,52.37451 4.876557,52.37473 4.876729,52.376351 4.877751,52.377614 4.878548,52.37809 4.878858)";4.8773545;52.375058
41;"Tram";"1 | 3 | 14";"01|03|14";"LINESTRING(4.933719 52.361192,4.933193 52.361198,4.932206 52.36121,4.930437 52.361223,4.930208 52.361208,4.929982 52.361173,4.929368 52.361019,4.9256008 52.3600738)";"LINESTRING(52.361192 4.933719,52.361198 4.933193,52.36121 4.932206,52.361223 4.930437,52.361208 4.930208,52.361173 4.929982,52.361019 4.929368,52.3600738 4.9256008)";4.9296599;52.3606484
42;"Tram";"14";"14";"LINESTRING(4.9394651 52.361611,4.9395418 52.361633,4.9395936 52.3616674,4.93965 52.361717,4.9396748 52.3617666,4.939677 52.36182,4.939612 52.361984,4.939588 52.36207,4.939577 52.362187,4.939545 52.363557,4.939534 52.363638,4.939491 52.363722,4.939409 52.363797,4.939276 52.363861,4.937667 52.364327,4.937301 52.364433,4.933577 52.365528,4.932797 52.365764,4.932676 52.365812,4.932571 52.365854,4.932277 52.365995,4.932183 52.36603,4.932089 52.366053,4.932001 52.366061,4.929543 52.365988,4.928597 52.365961,4.927672 52.365925,4.92702 52.365899,4.926882 52.365884,4.926744 52.365855,4.926594 52.365805,4.925783 52.365376,4.924822 52.36491,4.924607 52.364784,4.923291 52.363975)";"LINESTRING(52.361611 4.9394651,52.361633 4.9395418,52.3616674 4.9395936,52.361717 4.93965,52.3617666 4.9396748,52.36182 4.939677,52.361984 4.939612,52.36207 4.939588,52.362187 4.939577,52.363557 4.939545,52.363638 4.939534,52.363722 4.939491,52.363797 4.939409,52.363861 4.939276,52.364327 4.937667,52.364433 4.937301,52.365528 4.933577,52.365764 4.932797,52.365812 4.932676,52.365854 4.932571,52.365995 4.932277,52.36603 4.932183,52.366053 4.932089,52.366061 4.932001,52.365988 4.929543,52.365961 4.928597,52.365925 4.927672,52.365899 4.92702,52.365884 4.926882,52.365855 4.926744,52.365805 4.926594,52.365376 4.925783,52.36491 4.924822,52.364784 4.924607,52.363975 4.923291)";4.931484;52.363836
43;"Tram";"19";"19";"LINESTRING(4.969157 52.336652,4.969341 52.33666,4.96948 52.33664,4.970186 52.336438,4.970268 52.336411,4.970368 52.336393,4.970465 52.336395,4.970585 52.336425,4.970653 52.336475,4.970724 52.336554,4.970771 52.336634,4.970787 52.336701,4.970776 52.336771,4.970734 52.336824,4.970674 52.336861,4.970601 52.336892,4.970516 52.336913,4.970412 52.336928,4.970303 52.336919,4.970112 52.336879,4.969577 52.336763,4.969402 52.336724,4.969157 52.336652,4.968962 52.336634,4.968752 52.336672,4.966408 52.337361,4.966026 52.337454,4.96574 52.337497,4.96387 52.337778,4.963353 52.337868,4.96219 52.33809,4.961803 52.338171,4.960452 52.33849,4.96021 52.338539,4.959977 52.338571,4.959322 52.338637,4.958752 52.338741,4.958636 52.338762,4.957643 52.338943,4.955783 52.339303,4.95548 52.339377,4.954908 52.339543,4.954533 52.33961,4.954348 52.339644,4.95391 52.339739,4.953554 52.339837,4.953176 52.339974,4.95272 52.340159,4.952185 52.340425,4.950854 52.341163,4.949726 52.341778,4.948886 52.342296,4.947649 52.343074,4.94019 52.347758,4.938976 52.348495,4.938001 52.349095,4.935164 52.350859,4.933351 52.351986,4.930963 52.353489,4.930571 52.353735,4.929445 52.354459,4.928534 52.355056,4.928431 52.355132,4.928299 52.355255,4.928223 52.35534,4.92813 52.355473,4.927727 52.356112,4.927539 52.356416,4.927368 52.356732,4.927077 52.357213,4.926593 52.35797,4.926283 52.358468,4.925458 52.359773,4.925295 52.360018,4.9251519 52.3601978)";"LINESTRING(52.336652 4.969157,52.33666 4.969341,52.33664 4.96948,52.336438 4.970186,52.336411 4.970268,52.336393 4.970368,52.336395 4.970465,52.336425 4.970585,52.336475 4.970653,52.336554 4.970724,52.336634 4.970771,52.336701 4.970787,52.336771 4.970776,52.336824 4.970734,52.336861 4.970674,52.336892 4.970601,52.336913 4.970516,52.336928 4.970412,52.336919 4.970303,52.336879 4.970112,52.336763 4.969577,52.336724 4.969402,52.336652 4.969157,52.336634 4.968962,52.336672 4.968752,52.337361 4.966408,52.337454 4.966026,52.337497 4.96574,52.337778 4.96387,52.337868 4.963353,52.33809 4.96219,52.338171 4.961803,52.33849 4.960452,52.338539 4.96021,52.338571 4.959977,52.338637 4.959322,52.338741 4.958752,52.338762 4.958636,52.338943 4.957643,52.339303 4.955783,52.339377 4.95548,52.339543 4.954908,52.33961 4.954533,52.339644 4.954348,52.339739 4.95391,52.339837 4.953554,52.339974 4.953176,52.340159 4.95272,52.340425 4.952185,52.341163 4.950854,52.341778 4.949726,52.342296 4.948886,52.343074 4.947649,52.347758 4.94019,52.348495 4.938976,52.349095 4.938001,52.350859 4.935164,52.351986 4.933351,52.353489 4.930963,52.353735 4.930571,52.354459 4.929445,52.355056 4.928534,52.355132 4.928431,52.355255 4.928299,52.35534 4.928223,52.355473 4.92813,52.356112 4.927727,52.356416 4.927539,52.356732 4.927368,52.357213 4.927077,52.35797 4.926593,52.358468 4.926283,52.359773 4.925458,52.360018 4.925295,52.3601978 4.9251519)";4.94796945;52.3482954
44;"Tram";"-";"-";"LINESTRING(4.884528 52.386257,4.88452 52.386316,4.8845 52.386359,4.884468 52.386396,4.884431 52.386425,4.884378 52.386449,4.884318 52.386467,4.884231 52.386485,4.884157 52.3865,4.884094 52.386522,4.884047 52.38655,4.884004 52.38659,4.883982 52.386639,4.883983 52.386677,4.883999 52.386727,4.884311 52.387192,4.884389 52.387328,4.884719 52.387979,4.884752 52.38802,4.884814 52.388061,4.884891 52.388087,4.884969 52.388098,4.885061 52.388097,4.885239 52.388067)";"LINESTRING(52.386257 4.884528,52.386316 4.88452,52.386359 4.8845,52.386396 4.884468,52.386425 4.884431,52.386449 4.884378,52.386467 4.884318,52.386485 4.884231,52.3865 4.884157,52.386522 4.884094,52.38655 4.884047,52.38659 4.884004,52.386639 4.883982,52.386677 4.883983,52.386727 4.883999,52.387192 4.884311,52.387328 4.884389,52.387979 4.884719,52.38802 4.884752,52.388061 4.884814,52.388087 4.884891,52.388098 4.884969,52.388097 4.885061,52.388067 4.885239)";4.8846105;52.3871775
45;"Tram";"3";"03";"LINESTRING(4.952635 52.365297,4.952754 52.365347,4.952826 52.365392,4.952872 52.365441,4.9529 52.365499,4.952931 52.365644,4.952962 52.365696,4.953004 52.365743,4.953069 52.365784,4.953136 52.365808,4.953222 52.365828,4.953483 52.365863,4.953567 52.365866,4.953645 52.365859,4.953736 52.365837,4.953798 52.365815,4.953843 52.365791,4.953885 52.365757,4.953912 52.365715,4.953923 52.365664,4.953915 52.365611,4.953896 52.36557,4.953866 52.365528,4.953819 52.365488,4.953758 52.365453,4.953691 52.365432,4.953603 52.365414,4.952911 52.36532,4.952635 52.365297,4.951971 52.365206,4.951398 52.365172,4.950951 52.365145,4.948322 52.365174,4.948239 52.365164,4.948156 52.365145,4.948023 52.365078,4.947843 52.364955,4.947761 52.36487,4.947665 52.364772,4.947556 52.36459,4.946976 52.363024,4.946893 52.362848,4.946787 52.362741,4.946655 52.362659,4.946493 52.362601,4.946337 52.362572,4.943727 52.362207,4.9394651 52.361611)";"LINESTRING(52.365297 4.952635,52.365347 4.952754,52.365392 4.952826,52.365441 4.952872,52.365499 4.9529,52.365644 4.952931,52.365696 4.952962,52.365743 4.953004,52.365784 4.953069,52.365808 4.953136,52.365828 4.953222,52.365863 4.953483,52.365866 4.953567,52.365859 4.953645,52.365837 4.953736,52.365815 4.953798,52.365791 4.953843,52.365757 4.953885,52.365715 4.953912,52.365664 4.953923,52.365611 4.953915,52.36557 4.953896,52.365528 4.953866,52.365488 4.953819,52.365453 4.953758,52.365432 4.953691,52.365414 4.953603,52.36532 4.952911,52.365297 4.952635,52.365206 4.951971,52.365172 4.951398,52.365145 4.950951,52.365174 4.948322,52.365164 4.948239,52.365145 4.948156,52.365078 4.948023,52.364955 4.947843,52.36487 4.947761,52.364772 4.947665,52.36459 4.947556,52.363024 4.946976,52.362848 4.946893,52.362741 4.946787,52.362659 4.946655,52.362601 4.946493,52.362572 4.946337,52.362207 4.943727,52.361611 4.9394651)";4.94669405;52.3637385
46;"Tram";"3";"03";"LINESTRING(4.916643 52.359179,4.916583 52.359234,4.916487 52.359279,4.916353 52.359301,4.916193 52.359283,4.915655 52.359147,4.915524 52.359091,4.915437 52.359026,4.915236 52.358832,4.915151 52.358774,4.915057 52.358732,4.913765 52.3584,4.913602 52.358356,4.912923 52.358174,4.911422 52.357799,4.909558 52.357323,4.909043 52.357191,4.908018 52.35693,4.907199 52.356729,4.907075 52.356693,4.907005 52.356647,4.906955 52.356589,4.906935 52.356491,4.90691 52.356391,4.906879 52.356342,4.906803 52.356297,4.906706 52.356264,4.904963 52.355976,4.904716 52.35592,4.903139 52.355416,4.901243 52.354823,4.90093 52.354724,4.899438 52.354261,4.899102 52.354177,4.898786 52.354112,4.895877 52.353531,4.895581 52.353462,4.895255 52.353388,4.894581 52.353255,4.891475 52.352838,4.890813 52.352749)";"LINESTRING(52.359179 4.916643,52.359234 4.916583,52.359279 4.916487,52.359301 4.916353,52.359283 4.916193,52.359147 4.915655,52.359091 4.915524,52.359026 4.915437,52.358832 4.915236,52.358774 4.915151,52.358732 4.915057,52.3584 4.913765,52.358356 4.913602,52.358174 4.912923,52.357799 4.911422,52.357323 4.909558,52.357191 4.909043,52.35693 4.908018,52.356729 4.907199,52.356693 4.907075,52.356647 4.907005,52.356589 4.906955,52.356491 4.906935,52.356391 4.90691,52.356342 4.906879,52.356297 4.906803,52.356264 4.906706,52.355976 4.904963,52.35592 4.904716,52.355416 4.903139,52.354823 4.901243,52.354724 4.90093,52.354261 4.899438,52.354177 4.899102,52.354112 4.898786,52.353531 4.895877,52.353462 4.895581,52.353388 4.895255,52.353255 4.894581,52.352838 4.891475,52.352749 4.890813)";4.903728;52.356025
47;"Tram";"12";"12";"LINESTRING(4.904158 52.346137,4.903959 52.346144,4.903821 52.346166,4.903669 52.346207,4.903171 52.346408,4.902827 52.34651,4.902547 52.346558,4.90223 52.34659,4.899972 52.346697,4.895126 52.346939,4.891321 52.347132,4.891223 52.347156,4.891172 52.347201,4.891158 52.34724,4.891162 52.347345,4.891443 52.349453,4.891543 52.350197,4.891592 52.350558,4.891576 52.350726,4.891375 52.351323,4.891354 52.351445,4.891379 52.352023,4.891348 52.352146,4.891195 52.352585,4.89116 52.352644,4.89112 52.352687,4.891065 52.352718,4.891004 52.35274,4.890924 52.35275,4.890813 52.352749)";"LINESTRING(52.346137 4.904158,52.346144 4.903959,52.346166 4.903821,52.346207 4.903669,52.346408 4.903171,52.34651 4.902827,52.346558 4.902547,52.34659 4.90223,52.346697 4.899972,52.346939 4.895126,52.347132 4.891321,52.347156 4.891223,52.347201 4.891172,52.34724 4.891158,52.347345 4.891162,52.349453 4.891443,52.350197 4.891543,52.350558 4.891592,52.350726 4.891576,52.351323 4.891375,52.351445 4.891354,52.352023 4.891379,52.352146 4.891348,52.352585 4.891195,52.352644 4.89116,52.352687 4.89112,52.352718 4.891065,52.35274 4.891004,52.35275 4.890924,52.352749 4.890813)";4.8974855;52.3494435
48;"Tram";"12";"12";"LINESTRING(4.917199 52.3479715,4.9178802 52.3481687,4.9180396 52.3482073,4.9181319 52.3482173,4.9182312 52.3482203,4.9183264 52.3482102,4.9184375 52.3481834,4.9185299 52.3481436,4.9185841 52.3481075,4.9186335 52.3480717,4.9186711 52.3480186,4.9186953 52.3479786,4.9190191 52.347455,4.9190397 52.347406,4.9190478 52.3473554,4.9190395 52.347303,4.919 52.3472491,4.9189409 52.3472048,4.9188557 52.3471692,4.9186114 52.3471131,4.9184755 52.3470898,4.9183521 52.3470878,4.918229 52.347099,4.9181392 52.3471343,4.9180569 52.3471877,4.9179926 52.3472729,4.9177308 52.3476996,4.9176085 52.347828,4.9175236 52.3479005,4.9173775 52.3479547,4.9171968 52.3479706,4.910978 52.347096,4.904905 52.346245)";"LINESTRING(52.3479715 4.917199,52.3481687 4.9178802,52.3482073 4.9180396,52.3482173 4.9181319,52.3482203 4.9182312,52.3482102 4.9183264,52.3481834 4.9184375,52.3481436 4.9185299,52.3481075 4.9185841,52.3480717 4.9186335,52.3480186 4.9186711,52.3479786 4.9186953,52.347455 4.9190191,52.347406 4.9190397,52.3473554 4.9190478,52.347303 4.9190395,52.3472491 4.919,52.3472048 4.9189409,52.3471692 4.9188557,52.3471131 4.9186114,52.3470898 4.9184755,52.3470878 4.9183521,52.347099 4.918229,52.3471343 4.9181392,52.3471877 4.9180569,52.3472729 4.9179926,52.3476996 4.9177308,52.347828 4.9176085,52.3479005 4.9175236,52.3479547 4.9173775,52.3479706 4.9171968,52.347096 4.910978,52.346245 4.904905)";4.9119764;52.34723265
50;"Tram";"4";"04";"LINESTRING(4.904158 52.346137,4.904048 52.346103,4.903921 52.346049,4.903783 52.345953,4.903394 52.345559,4.903305 52.345481,4.90319 52.345407,4.903051 52.345341,4.900811 52.344529,4.89659 52.342999,4.89381 52.341991,4.893652 52.341942,4.89347 52.341914,4.893228 52.341901,4.89304 52.34191,4.89285 52.341918,4.89269 52.341913,4.89258 52.341887,4.892512 52.341852,4.892452 52.341803,4.892418 52.341749,4.892403 52.341672,4.892226 52.34025,4.891924 52.337766,4.891887 52.337686,4.891815 52.337614,4.891698 52.337546,4.891183 52.337322,4.89096 52.337179,4.890891 52.337129,4.890724 52.337006,4.890162 52.336595,4.889744 52.3362,4.889672 52.336157,4.889581 52.33613,4.889448 52.336123,4.889322 52.336149,4.889224 52.336205,4.889171 52.33628,4.889174 52.336362,4.889211 52.336419,4.889302 52.336479,4.889386 52.336504,4.889498 52.336513,4.889742 52.336493,4.889851 52.336493,4.889942 52.336505,4.890033 52.336536,4.890162 52.336595)";"LINESTRING(52.346137 4.904158,52.346103 4.904048,52.346049 4.903921,52.345953 4.903783,52.345559 4.903394,52.345481 4.903305,52.345407 4.90319,52.345341 4.903051,52.344529 4.900811,52.342999 4.89659,52.341991 4.89381,52.341942 4.893652,52.341914 4.89347,52.341901 4.893228,52.34191 4.89304,52.341918 4.89285,52.341913 4.89269,52.341887 4.89258,52.341852 4.892512,52.341803 4.892452,52.341749 4.892418,52.341672 4.892403,52.34025 4.892226,52.337766 4.891924,52.337686 4.891887,52.337614 4.891815,52.337546 4.891698,52.337322 4.891183,52.337179 4.89096,52.337129 4.890891,52.337006 4.890724,52.336595 4.890162,52.3362 4.889744,52.336157 4.889672,52.33613 4.889581,52.336123 4.889448,52.336149 4.889322,52.336205 4.889224,52.33628 4.889171,52.336362 4.889174,52.336419 4.889211,52.336479 4.889302,52.336504 4.889386,52.336513 4.889498,52.336493 4.889742,52.336493 4.889851,52.336505 4.889942,52.336536 4.890033,52.336595 4.890162)";4.8966645;52.34113
51;"Tram";"5";"05";"LINESTRING(4.882162 52.353055,4.882215 52.352973,4.882249 52.352915,4.88226 52.352868,4.882255 52.352825,4.882228 52.352771,4.882199 52.352734,4.882154 52.352695)";"LINESTRING(52.353055 4.882162,52.352973 4.882215,52.352915 4.882249,52.352868 4.88226,52.352825 4.882255,52.352771 4.882228,52.352734 4.882199,52.352695 4.882154)";4.882207;52.352875
52;"Tram";"24";"24";"LINESTRING(4.882154 52.352695,4.882297 52.352752,4.882378 52.35278,4.882449 52.352797,4.882535 52.352804,4.882631 52.352803,4.882724 52.352786)";"LINESTRING(52.352695 4.882154,52.352752 4.882297,52.35278 4.882378,52.352797 4.882449,52.352804 4.882535,52.352803 4.882631,52.352786 4.882724)";4.882439;52.3527495
53;"Tram";"3 | 12";"03|12";"LINESTRING(4.882162 52.353055,4.882261 52.352985,4.882354 52.35293,4.882448 52.35289,4.882724 52.352786)";"LINESTRING(52.353055 4.882162,52.352985 4.882261,52.35293 4.882354,52.35289 4.882448,52.352786 4.882724)";4.882443;52.3529205
54;"Tram";"3 | 5 | 12";"03|05|12";"LINESTRING(4.882162 52.353055,4.881564 52.353904,4.881201 52.354419,4.880901 52.354845,4.880655 52.355195,4.880319 52.355612,4.880189 52.355803,4.880088 52.355969,4.879989 52.356139,4.879821 52.356415,4.879725 52.356547,4.87872 52.357935)";"LINESTRING(52.353055 4.882162,52.353904 4.881564,52.354419 4.881201,52.354845 4.880901,52.355195 4.880655,52.355612 4.880319,52.355803 4.880189,52.355969 4.880088,52.356139 4.879989,52.356415 4.879821,52.356547 4.879725,52.357935 4.87872)";4.880441;52.355495
55;"Tram";"1";"01";"LINESTRING(4.880841 52.363063,4.880623 52.362966,4.880532 52.362932,4.880456 52.362915,4.880383 52.362902,4.880295 52.362904,4.880157 52.362929,4.880091 52.36295,4.880034 52.36298,4.879483 52.36338,4.879231 52.363528,4.878986 52.363652,4.878855 52.363687,4.878765 52.363703,4.878621 52.363702,4.878472 52.363683,4.87645 52.363057,4.875287 52.362752,4.873517 52.362295,4.870664 52.361546,4.868526 52.36098,4.868156 52.360889,4.866245 52.360454,4.863641 52.359861,4.861832 52.359426,4.860096 52.358968,4.857873 52.358384,4.85687 52.358117,4.855649 52.357766,4.855479 52.357742,4.855318 52.357743,4.85514 52.357775,4.853697 52.358215,4.853589 52.358231,4.853508 52.358233,4.853409 52.358223)";"LINESTRING(52.363063 4.880841,52.362966 4.880623,52.362932 4.880532,52.362915 4.880456,52.362902 4.880383,52.362904 4.880295,52.362929 4.880157,52.36295 4.880091,52.36298 4.880034,52.36338 4.879483,52.363528 4.879231,52.363652 4.878986,52.363687 4.878855,52.363703 4.878765,52.363702 4.878621,52.363683 4.878472,52.363057 4.87645,52.362752 4.875287,52.362295 4.873517,52.361546 4.870664,52.36098 4.868526,52.360889 4.868156,52.360454 4.866245,52.359861 4.863641,52.359426 4.861832,52.358968 4.860096,52.358384 4.857873,52.358117 4.85687,52.357766 4.855649,52.357742 4.855479,52.357743 4.855318,52.357775 4.85514,52.358215 4.853697,52.358231 4.853589,52.358233 4.853508,52.358223 4.853409)";4.867125;52.3607225
56;"Tram";"3";"03";"LINESTRING(4.87872 52.357935,4.878563 52.358149,4.878428 52.35833,4.877629 52.359457,4.87715 52.360115,4.876955 52.360384,4.876652 52.360841,4.876389 52.361203,4.875895 52.361884,4.875726 52.362106,4.875287 52.362752,4.873123 52.365864,4.872883 52.366205,4.872164 52.367246,4.871414 52.368325,4.870876 52.369107,4.870718 52.369337,4.870595 52.36955,4.870507 52.369759,4.870431 52.369991,4.870385 52.370184,4.87037 52.370394,4.870368 52.370544,4.870377 52.370696)";"LINESTRING(52.357935 4.87872,52.358149 4.878563,52.35833 4.878428,52.359457 4.877629,52.360115 4.87715,52.360384 4.876955,52.360841 4.876652,52.361203 4.876389,52.361884 4.875895,52.362106 4.875726,52.362752 4.875287,52.365864 4.873123,52.366205 4.872883,52.367246 4.872164,52.368325 4.871414,52.369107 4.870876,52.369337 4.870718,52.36955 4.870595,52.369759 4.870507,52.369991 4.870431,52.370184 4.870385,52.370394 4.87037,52.370544 4.870368,52.370696 4.870377)";4.874544;52.3643155
57;"Tram";"_";"_";"LINESTRING(4.877972 52.378549,4.8773923 52.3787214)";"LINESTRING(52.378549 4.877972,52.3787214 4.8773923)";4.87768215;52.3786352
58;"Tram";"3";"03";"LINESTRING(4.871945 52.384361,4.871639 52.384302,4.870352 52.384078,4.870207 52.384052,4.870148 52.384048,4.870086 52.384054,4.870026 52.384068,4.86998 52.384087,4.869938 52.384114,4.869903 52.384152,4.869882 52.384192,4.869865 52.384237,4.869806 52.384388,4.869796 52.384431,4.869799 52.384472,4.869821 52.384514,4.869863 52.384551,4.869916 52.384578,4.869978 52.384597,4.870123 52.384623,4.871149 52.384802,4.871248 52.38482,4.87132 52.384825,4.871381 52.384819,4.871437 52.384805,4.871487 52.384784,4.871539 52.384755,4.871562 52.384725,4.87166 52.38451,4.871683 52.38447,4.871722 52.384431,4.871767 52.384407,4.871839 52.384383,4.871945 52.384361,4.87225 52.384392,4.87263 52.38441,4.873487 52.384427,4.874623 52.384446,4.87477 52.384433,4.874914 52.384406,4.875041 52.384362,4.875165 52.384293,4.876852 52.3833,4.877047 52.383186,4.877813 52.382736,4.878868 52.382112,4.878979 52.382022,4.879026 52.381932,4.879103 52.381695,4.87918 52.381372,4.879194 52.381233,4.879189 52.38114,4.879164 52.381007,4.87911 52.380878,4.879038 52.380755,4.878144 52.379333,4.8778057 52.3788361)";"LINESTRING(52.384361 4.871945,52.384302 4.871639,52.384078 4.870352,52.384052 4.870207,52.384048 4.870148,52.384054 4.870086,52.384068 4.870026,52.384087 4.86998,52.384114 4.869938,52.384152 4.869903,52.384192 4.869882,52.384237 4.869865,52.384388 4.869806,52.384431 4.869796,52.384472 4.869799,52.384514 4.869821,52.384551 4.869863,52.384578 4.869916,52.384597 4.869978,52.384623 4.870123,52.384802 4.871149,52.38482 4.871248,52.384825 4.87132,52.384819 4.871381,52.384805 4.871437,52.384784 4.871487,52.384755 4.871539,52.384725 4.871562,52.38451 4.87166,52.38447 4.871683,52.384431 4.871722,52.384407 4.871767,52.384383 4.871839,52.384361 4.871945,52.384392 4.87225,52.38441 4.87263,52.384427 4.873487,52.384446 4.874623,52.384433 4.87477,52.384406 4.874914,52.384362 4.875041,52.384293 4.875165,52.3833 4.876852,52.383186 4.877047,52.382736 4.877813,52.382112 4.878868,52.382022 4.878979,52.381932 4.879026,52.381695 4.879103,52.381372 4.87918,52.381233 4.879194,52.38114 4.879189,52.381007 4.879164,52.380878 4.87911,52.380755 4.879038,52.379333 4.878144,52.3788361 4.8778057)";4.874495;52.38183055
59;"Tram";"2";"02";"LINESTRING(4.87889 52.358237,4.878563 52.358149,4.871321 52.356187,4.8707 52.356018,4.868214 52.355342,4.868094 52.355304,4.867998 52.355248,4.867945 52.355187,4.867916 52.355119,4.867914 52.354919,4.86791 52.354775,4.867872 52.354674,4.867802 52.354575,4.867703 52.35449,4.867625 52.354437,4.86749 52.354373,4.867299 52.354307,4.866861 52.3542,4.866267 52.354083,4.866087 52.354035,4.865286 52.353773,4.865021 52.353697,4.864725 52.353629,4.864359 52.353576,4.864139 52.353545,4.864023 52.353507,4.863943 52.35346,4.863753 52.353321,4.863646 52.353269,4.863545 52.353235,4.863504 52.353226,4.86345 52.353215,4.863321 52.353202,4.862927 52.353209,4.862794 52.353189,4.862304 52.35301,4.862007 52.352912,4.861726 52.352833,4.861503 52.352779,4.860893 52.352654,4.8607 52.352598,4.860148 52.352414,4.859885 52.352336,4.859162 52.352158,4.858521 52.352016,4.856596 52.35151,4.855856 52.351308,4.854399 52.350894,4.854217 52.350847,4.853764 52.350808,4.853563 52.3508,4.853402 52.350813,4.851805 52.35102,4.851625 52.351035,4.850615 52.351034,4.850489 52.351072,4.850408 52.351107,4.850372 52.35114,4.850342 52.351195,4.850323 52.351263,4.850318 52.351389,4.850293 52.351439,4.85024 52.351494,4.85017 52.351529,4.850053 52.351552,4.849819 52.351549,4.849446 52.351571)";"LINESTRING(52.358237 4.87889,52.358149 4.878563,52.356187 4.871321,52.356018 4.8707,52.355342 4.868214,52.355304 4.868094,52.355248 4.867998,52.355187 4.867945,52.355119 4.867916,52.354919 4.867914,52.354775 4.86791,52.354674 4.867872,52.354575 4.867802,52.35449 4.867703,52.354437 4.867625,52.354373 4.86749,52.354307 4.867299,52.3542 4.866861,52.354083 4.866267,52.354035 4.866087,52.353773 4.865286,52.353697 4.865021,52.353629 4.864725,52.353576 4.864359,52.353545 4.864139,52.353507 4.864023,52.35346 4.863943,52.353321 4.863753,52.353269 4.863646,52.353235 4.863545,52.353226 4.863504,52.353215 4.86345,52.353202 4.863321,52.353209 4.862927,52.353189 4.862794,52.35301 4.862304,52.352912 4.862007,52.352833 4.861726,52.352779 4.861503,52.352654 4.860893,52.352598 4.8607,52.352414 4.860148,52.352336 4.859885,52.352158 4.859162,52.352016 4.858521,52.35151 4.856596,52.351308 4.855856,52.350894 4.854399,52.350847 4.854217,52.350808 4.853764,52.3508 4.853563,52.350813 4.853402,52.35102 4.851805,52.351035 4.851625,52.351034 4.850615,52.351072 4.850489,52.351107 4.850408,52.35114 4.850372,52.351195 4.850342,52.351263 4.850323,52.351389 4.850318,52.351439 4.850293,52.351494 4.85024,52.351529 4.85017,52.351552 4.850053,52.351549 4.849819,52.351571 4.849446)";4.864168;52.3545185
